TreatmentID;PeriodType;PeriodNo;Id;Name;Group;Role;Profit;ProfitTotal;Payment;PaymentTotal;cost_A_a;cost_B_a;cost_A_B_a;h3;risk_p;h1;h2
6;payment;1;42;;0;;0;0;0;1059;110;70;130;First try to get some red balls, which can get more chances for 30K, but sometimes after that take 2nd urn;A;intuition;Max_profit
6;payment;1;14;;1;;0;0;0;849;120;200;160;At first I tried only B, then only A. A resulted in loss, but on second try it resulted in very high prize. The last try was based on assumption that i would try to start with A till I have more winning balls than losing, and then switch to B;A;strategy;Max_profit
6;payment;1;56;;1;;0;0;0;759;300;200;350;If I earn income from A, I will continue to choose A the second time, because the probability of earning income has increased. If I lose income from A, I will turn to B first, because the risk of B is relatively smaller.;B;strategy;Max_profit
6;payment;1;18;;0;;0;0;0;918;180;240;280;;A;strategy;Max_profit
6;payment;1;13;;1;;0;0;0;999;10;20;15;if i get 2 loses on urn A , I play urn B because I will cut my loses by 50% even if I lose with B its not gonna be that sensible.;A;intuition;Max_profit
6;payment;1;54;;1;;0;0;0;1149;240;340;100;Maximize the income;B;intuition;Max_profit
6;payment;1;1;;1;;0;0;0;969;210;240;250;My strategy focused on calculating the expected value for each urn based on the given probabilities and outcomes. I chose Urn B for its higher expected value and stability, but I also considered switching to Urn A when the potential for compounding rewards outweighed the risks.;A;strategy;Max_profit
6;payment;1;4;;0;;0;0;0;843;240;240;240;careful analysis;A;strategy;Min_risk
6;payment;1;16;;0;;0;0;0;936;11;150;151;Picking turn B is almost too good. It is just way better option and it grants profit. I was choosing B everytime and every round I made 200k profit;A;strategy;Max_profit
6;payment;1;65;;1;;0;0;0;1536;80;40;150;I tried to maximize income by minimizing risk;B;strategy;Max_profit
6;payment;1;28;;1;;0;0;0;867;100;120;200;Started from startegy B which had bigger probability that I will earn some money. Then I switched to option A and if I lost money on option three times in a row I would have switched back to option B.;A;strategy;Min_risk
6;payment;1;69;;0;;0;0;0;723;5;20;10;Choose B for the first 18 times because the chance of profit is greater. Choose A for the last two times depending on luck. If you make a profit the 19th time, choose B for the last time. If you lose money the 19th time, continue to choose A for the last time.;A;strategy;Min_risk
6;payment;1;46;;1;;0;0;0;1023;216;240;240;;A;strategy;Max_profit
6;payment;1;53;;0;;0;0;0;1041;300;240;350;I tried to get the highest possible gain statistically and probabilistically. I used my intuition without any scientific basis.;A;intuition;Max_profit
6;payment;1;24;;0;;0;0;0;777;120;200;220;;B;intuition;Max_profit
6;payment;1;61;;0;;0;0;0;819;10;15;6;;A;intuition;Min_risk
6;payment;1;67;;0;;0;0;0;714;50;90;150;Maximizing income;B;not_found;Min_risk
6;payment;1;36;;1;;0;0;0;864;100;180;120;;A;intuition;Min_risk
6;payment;1;43;;0;;0;0;0;927;200;240;200;;A;strategy;Max_profit
6;payment;1;11;;0;;0;0;0;744;10;20;10;Every round i tried A only, B only or combined in 2 different ways;A;strategy;Max_profit
6;payment;1;38;;1;;0;0;0;1110;3;15;15;Expected Value Maximization Strategy;B;strategy;Min_risk
6;payment;1;3;;1;;0;0;0;954;240;240;6;;B;intuition;Min_risk
6;payment;1;35;;0;;0;0;0;1152;100;200;200;;A;strategy;Min_risk
6;payment;1;37;;1;;0;0;0;1020;100;200;223;;A;intuition;Min_risk
6;payment;1;34;;1;;0;0;0;960;100;200;123;;A;intuition;Max_profit
6;payment;1;70;;0;;0;0;0;1035;5;4;3;I started with urn A and whenever I had a loss I switched to the second urn;A;strategy;Max_profit
6;payment;1;64;;0;;0;0;0;777;90;50;56;;B;strategy;Min_risk
6;payment;1;66;;1;;0;0;0;423;300;400;400;;A;intuition;Min_risk
6;payment;1;50;;0;;0;0;0;858;12;15;15;Urn A is actually more risky. Since two same balls will be added after drawn, if black balls are more than red balls, it means that the chances of drawing red balls decrease. Urn B is more stable when earning income.;A;strategy;Min_risk
6;payment;1;62;;1;;0;0;0;1014;16;20;35;;B;not_understand;Min_risk
6;payment;1;71;;1;;0;0;0;1098;3;4;4;I prefered urn B, as the risk was smaller, but sometimes opted form urn A if I had enough money to risk it;A;intuition;Min_risk
6;payment;1;8;;1;;0;0;0;990;250;240;260;I started by using Urn A to try to win big early on, especially when I was ahead. Once I hit a few losses, I switched to Urn B for more stable outcomes. I adjusted my strategy based on previous draws, trying to balance between risk and reward.;A;intuition;Max_profit
6;payment;1;68;;1;;0;0;0;1029;12;20;25;Intuition and guess;A;intuition;Max_profit
6;payment;1;7;;1;;0;0;0;1278;240;240;360;I started from pulling balls from urn A, if I had a chance of getting red higher than 1/2 I kept ulling from urn A. IF my chances of getting red dropped below 1/2 I started pulling balls from urn B;A;strategy;Max_profit
6;payment;1;17;;0;;0;0;0;867;100;100;120;1stly I wanted to earn sth in the B to have mney to risk in A, I stopped A every time when there was 4 black balls more than red ones. next times I started sometines from A too but still stopped when number of black balls was bigger by 4;A;strategy;Min_risk
6;payment;1;29;;1;;0;0;0;1032;120;220;200;i try to choose the least risky option;A;strategy;Min_risk
6;payment;1;20;;1;;0;0;0;990;450;250;290;1. strategy was to only draw from urn A, 2. strategy was to only draw from urn B, 3. strategy was to switch urns every time I lost money, 4. strategy was to start with A and switch to B after 2 losses one after another.;A;strategy;Max_profit
6;payment;1;15;;1;;0;0;0;1140;100;80;100;Expected value with given probabilities and higher risk, higher income;A;strategy;Max_profit
6;payment;1;47;;1;;0;0;0;1011;100;40;80;;A;strategy;Max_profit
6;payment;1;23;;1;;0;0;0;1359;300;240;320;I first used Urn A to take advantage of its compounding power, then Urn B to stabilize results in subsequent rounds or when Urn A's risk got too high.;A;strategy;Max_profit
6;payment;1;51;;1;;0;0;0;927;1;10;10;started with A, if I recieved more money at the beginning then I kept playing A. Otherwise change the pot;A;strategy;Min_risk
6;payment;1;40;;0;;0;0;0;840;60;150;200;If in urn A I got the red one (+30K) then I would continue otherwise I would switch to urn B. I tried only urn A and I got only 60K and when I played both I got a lot more making me realise that urn A is a lot riskier.;A;strategy;Max_profit
6;payment;1;44;;1;;0;0;0;1068;200;240;220;Urn B is lower risk, so I began the game by choosing Urn B. After three rounds and earning 21K, I switched to Urn A and continued to choose it until I experienced a loss. Then I returned to Urn B and repeated the same strategy.;A;strategy;Min_risk
6;payment;1;49;;0;;0;0;0;1098;300;280;250;;B;not_found;Max_profit
6;payment;1;10;;1;;0;0;0;1080;0;240;240;unfortunately I participate in Experimental economy class, so we talked already about this problem, thats why i chose B the whole time, as I tried A statedy already and knew there was no good solution there;A;strategy;Min_risk
